Date,Text,Sentiment
20150224,"
       The Federal Reserve Board on Tuesday released the minutes of its discount rate meeting on January 26, 2015.
     
       The minutes are attached.
     
       For media inquiries, call 202-452-2955.
     
Attachment (PDF)
",Positive
20150318,"
       Information received since the Federal Open Market Committee met in January suggests that economic growth has moderated somewhat. Labor market conditions have improved further, with strong job gains and a lower unemployment rate. A range of labor market indicators suggests that underutilization of labor resources continues to diminish. Household spending is rising moderately; declines in energy prices have boosted household purchasing power. Business fixed investment is advancing, while the recovery in the housing sector remains slow and export growth has weakened. Inflation has declined further below the Committee's longer-run objective, largely reflecting declines in energy prices. Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.
     
       Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate. The Committee continues to see the risks to the outlook for economic activity and the labor market as nearly balanced. Inflation is anticipated to remain near its recent low level in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of energy price declines and other factors dissipate. The Committee continues to monitor inflation developments closely.
     
       To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that the current 0 to 1/4 percent target range for the federal funds rate remains appropriate. In determining how long to maintain this target range, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. Consistent with its previous statement, the Committee judges that an increase in the target range for the federal funds rate remains unlikely at the April FOMC meeting. The Committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term. This change in the forward guidance does not indicate that the Committee has decided on the timing of the initial increase in the target range.
     
       The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.
     
       When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.
     
       Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Jeffrey M. Lacker; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams.
    ",Positive
20150408,"
       The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on March 17-18, 2015. A summary of economic projections made by Federal Reserve Board members and Reserve Bank presidents for the meeting is also included as an addendum to these minutes.
     
       The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board's Annual Report. The descriptions of economic and financial conditions contained in these minutes and in the Summary of Economic Projections are based solely on the information that was available to the Committee at the time of the meeting. 
     
       FOMC minutes can be viewed on the Board's website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
 
Minutes of the Federal Open Market Committee
       March 17-18, 2015: HTML | PDF
 
       For media inquiries, call 202-452-2955
    ",Neutral
20150414,"
       The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings from February 9 through March 16, 2015.
     
       The minutes are attached.
     
       For media inquiries, call 202-452-2955.
    ",Neutral
20150429,"
       Information received since the Federal Open Market Committee met in March suggests that economic growth slowed during the winter months, in part reflecting transitory factors. The pace of job gains moderated, and the unemployment rate remained steady. A range of labor market indicators suggests that underutilization of labor resources was little changed. Growth in household spending declined; households' real incomes rose strongly, partly reflecting earlier declines in energy prices, and consumer sentiment remains high. Business fixed investment softened, the recovery in the housing sector remained slow, and exports declined. Inflation continued to run below the Committee's longer-run objective, partly reflecting earlier declines in energy prices and decreasing prices of non-energy imports. Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.
     
       Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Although growth in output and employment slowed during the first quarter, the Committee continues to expect that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate. The Committee continues to see the risks to the outlook for economic activity and the labor market as nearly balanced. Inflation is anticipated to remain near its recent low level in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of declines in energy and import prices dissipate. The Committee continues to monitor inflation developments closely.
     
       To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that the current 0 to 1/4 percent target range for the federal funds rate remains appropriate. In determining how long to maintain this target range, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. The Committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.
     
       The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.
     
       When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run. 
     
       Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Jeffrey M. Lacker; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams.
    ",Positive
20150511,"
       The Federal Open Market Committee on Monday announced its tentative meeting schedule for 2016:
     
       January 26-27 (Tuesday-Wednesday)
     
       March 15-16 (Tuesday-Wednesday)
     
       April 26-27 (Tuesday-Wednesday)
     
       June 14-15 (Tuesday-Wednesday)
     
       July 26-27 (Tuesday-Wednesday)
     
       September 20-21 (Tuesday-Wednesday)
     
       November 1-2 (Tuesday-Wednesday)
     
       December 13-14 (Tuesday-Wednesday)
     
       January 31-February 1, 2017 (Tuesday-Wednesday)
     
       The Chair's quarterly news conferences will take place following the March, June, September, and December meetings.
     
       For media inquiries, call 202-452-2955.
    ",Neutral
20150514,"
       The Federal Reserve plans to continue periodic testing of Term Deposit Facility (TDF) operations, beginning with two operations this month. These operations are aimed at ensuring the operational readiness of the TDF and providing eligible institutions with an opportunity to maintain familiarity with term deposit procedures. The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy.
     
       The first two operations will be conducted on May 21 and May 28 and will offer 14-day and 7-day term deposits, respectively. These operations will each offer floating-rate term deposits with the maximum individual award amount set at $5 billion, and the rate set equal to the sum of the interest rate on excess reserves (currently 25 basis points) plus a fixed spread of 1 basis point. Term deposits offered in these two operations will include an early withdrawal feature and settle on the same day each operation is executed. Complete details will be announced on the day prior to each operation on the Board's website. The Federal Reserve plans to conduct similar routine TDF test operations in the coming months. The schedule and terms for future operations will be announced at later dates.
     
       Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html .
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150520,"
       The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on April 28-29, 2015.
     
       The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board's Annual Report. The descriptions of economic and financial conditions contained in these minutes are based solely on the information that was available to the Committee at the time of the meeting.
     
       FOMC minutes can be viewed on the Board's website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
 
Minutes of the Federal Open Market Committee
       April 28-29, 2015: HTML | PDF
 
       For media inquiries, call 202-452-2955
    ",Neutral
20150521,"
       On May 21, 2015, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered 14-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point.
     
       Following are the results of the operation:
     

       The awarded deposits will settle on May 21, 2015, and will mature on June 4, 2015. The operation effective rate will apply to all awarded deposits.
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150526,"
       The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings from March 30 through April 27, 2015.
     
       The minutes are attached.
     
Attachment (PDF)
 
       For media inquiries, call 202-452-2955.
    ",Positive
20150527,"
       On May 28, 2015, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its Term Deposit Facility (TDF). The Federal Reserve will offer seven-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves (currently 25 basis points) plus a fixed spread of 1 basis point. The maximum tender amount per institution will be $5,000,000,000. The operation window will be open from 10:30 a.m. ET to 12:30 p.m. ET, and awarded deposits will settle the same day the operation is executed.
     
Description of Operation and Tender Parameters
 
        
     
Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do) between the opening time and the closing time on the operation date.
     
       All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.
     
Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit.  Requests for early withdrawal must be made between 10:00 a.m. ET and 12:00 p.m. ET.
     
       See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html).
     
Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.
     
       Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. ET on the notification date.
     
       As noted in the Federal Reserve Board's May 14, 2015, release, this operation is part of the continuing program of operational testing of policy tools designed to provide institutions with an opportunity to maintain familiarity with term deposit operations.  The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html).
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150528,"
       On May 28, 2015, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered seven-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point.
     
       Following are the results of the operation:
     

       The awarded deposits will settle on May 28, 2015, and will mature on June 4, 2015. The operation effective rate will apply to all awarded deposits.
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150617,"
      Information received since the Federal Open Market Committee met in April suggests that economic activity has been expanding moderately after having changed little during the first quarter. The pace of job gains picked up while the unemployment rate remained steady. On balance, a range of labor market indicators suggests that underutilization of labor resources diminished somewhat. Growth in household spending has been moderate and the housing sector has shown some improvement; however, business fixed investment and net exports stayed soft. Inflation continued to run below the Committee's longer-run objective, partly reflecting earlier declines in energy prices and decreasing prices of non-energy imports; energy prices appear to have stabilized. Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.
     
      Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate. The Committee continues to see the risks to the outlook for economic activity and the labor market as nearly balanced. Inflation is anticipated to remain near its recent low level in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of earlier declines in energy and import prices dissipate. The Committee continues to monitor inflation developments closely.
     
      To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that the current 0 to 1/4 percent target range for the federal funds rate remains appropriate. In determining how long to maintain this target range, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. The Committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.
     
      The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.
     
      When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.
     
      Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Jeffrey M. Lacker; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams.
    ",Positive
20150708,"
      The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on June 16-17, 2015. A summary of economic projections made by Federal Reserve Board members and Reserve Bank presidents for the meeting is also included as an addendum to these minutes.
     
      The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board’s Annual Report. The descriptions of economic and financial conditions contained in these minutes and in the Summary of Economic Projections are based solely on the information that was available to the Committee at the time of the meeting.
     
      FOMC minutes can be viewed on the Board’s website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm.
     
Minutes of the Federal Open Market Committee
      June 16-17, 2015: HTML | PDF
 
      For media inquiries, call 202-452-2955.
    ",Neutral
20150714,"
      The Federal Reserve Board on Tuesday released the minutes of its discount rate meeting on June 15, 2015.
     
      The minutes are attached.
     
      For media inquiries, call 202-452-2955.
    ",Neutral
20150724,"
      Economic projections prepared by Federal Reserve Board staff as background for the June 16-17, 2015, meeting of the Federal Open Market Committee (FOMC) were inadvertently included in a computer file posted to the Board's public website on June 29. Because the information has already been released, the Federal Reserve is today providing general public notification and making those projections more easily accessible on our website within the FRB/US model package (ZIP) data folder.
     
      Approximately every three months, Federal Reserve Board staff update and publish on the Board's website a package of computer code of the Board staff's FRB/US model of the U.S. economy, including a set of illustrative economic projections based only on publicly available information. On June 29, an updated package of code was posted that inadvertently included three files containing staff economic forecasts that are confidential FOMC information. Two files contained charts of the staff's projections for economic variables such as the unemployment rate, the core inflation rate, and gross domestic product growth as well as the staff's assumption for the path of the federal funds rate target selected by the FOMC. Another file contained computer code used to generate a table displaying staff economic projections.
     
      The projections that were inadvertently released are staff projections that do not incorporate policymakers' views, including their views on monetary policy. Policymaker views were set forth in the monetary policy statement and projection materials released on June 17 and in the minutes of the June FOMC meeting and the Summary of Economic Projections published on July 8.
     
      Consistent with the procedures in the FOMC's Program for Security of FOMC Information, this matter has been referred to the Board's Inspector General.
    ",Positive
20150729,"
      Information received since the Federal Open Market Committee met in June indicates that economic activity has been expanding moderately in recent months. Growth in household spending has been moderate and the housing sector has shown additional improvement; however, business fixed investment and net exports stayed soft. The labor market continued to improve, with solid job gains and declining unemployment. On balance, a range of labor market indicators suggests that underutilization of labor resources has diminished since early this year. Inflation continued to run below the Committee's longer-run objective, partly reflecting earlier declines in energy prices and decreasing prices of non-energy imports. Market-based measures of inflation compensation remain low; survey‑based measures of longer-term inflation expectations have remained stable.
     
      Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate. The Committee continues to see the risks to the outlook for economic activity and the labor market as nearly balanced. Inflation is anticipated to remain near its recent low level in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of earlier declines in energy and import prices dissipate. The Committee continues to monitor inflation developments closely.
     
      To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that the current 0 to 1/4 percent target range for the federal funds rate remains appropriate. In determining how long to maintain this target range, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. The Committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen some further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.
     
      The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.
     
      When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.
     
      Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Jeffrey M. Lacker; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams.
    ",Positive
20150803,"
      The Federal Reserve plans to continue periodic testing of Term Deposit Facility (TDF) operations in August.  These operations are aimed at ensuring the operational readiness of the TDF and providing eligible institutions with an opportunity to maintain familiarity with term deposit procedures. The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy.
     
      Two operations will be conducted--one on August 6 for 14-day term deposits and one on August 13 for 7-day term deposits. These operations will each offer floating-rate term deposits with the maximum individual award amount set at $5 billion, and the rate set equal to the sum of the interest rate on excess reserves (currently 25 basis points) plus a fixed spread of 1 basis point. Term deposits offered in these two operations will include an early withdrawal feature and settle on the same day each operation is executed. Complete details will be announced on the day prior to each operation on the Board's website. The Federal Reserve plans to conduct similar routine TDF test operations in the coming months. The schedule and terms for future operations will be announced at later dates.
     
      Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html.
     
      For media inquiries, call 202-452-2955.
    ",Positive
